"Revision","Author","Date","Message"
"503","yancyn","2011-09-29 05:48:54","updating liandui."
"502","yancyn","2011-09-29 04:25:27","housekeeping liandui."
"501","yancyn","2011-09-29 03:54:39","updating liandui."
"500","yancyn","2011-09-28 21:17:00","updating liandui."
"499","yancyn","2011-09-28 05:54:08","updating liandui."
"498","yancyn","2011-09-28 05:06:56","updating liandui."
"497","yancyn","2011-09-27 22:52:25","adding new order from addin."
"496","yancyn","2011-09-27 06:00:42","updating nisan order."
"495","yancyn","2011-09-26 18:21:11","adding new liandui."
"494","yancyn","2011-09-26 13:25:17","adding new liandui."
"493","yancyn","2011-09-26 12:58:27","remove duplicated liandui entry."
"492","yancyn","2011-09-26 12:37:51","adding new liandui."
"491","yancyn","2011-09-26 11:52:40","adding new liandui."
"490","yancyn","2011-09-26 11:52:14","updating order.and JawiWPF version."
"489","yancyn","2011-09-23 18:10:08","updating nisan order."
"488","yancyn","2011-09-23 14:20:31","update new liandui."
"487","yancyn","2011-09-23 11:39:16","updated latest liandui source file from gdocs. Now onward maintain at xml then only paste into gdoc for share.clean up icon.remove unnecessary resources file.removed new button. It is not necessary anymore, if you want to create a new record just key in at the bottom at datagrid, press save button. If you want to remove, just click on the header of row press delete key then save again."
"486","yancyn","2011-09-22 23:57:37","adding new order."
"485","yancyn","2011-09-22 18:01:09","missing MuslimCalendar class after moved from Snippet project."
"484","yancyn","2011-09-21 13:37:40","added icon for FindLiandui and release first version."
"483","yancyn","2011-09-20 18:41:10","able to search liandui now."
"482","yancyn","2011-09-20 17:55:41","adding new order."
"481","yancyn","2011-09-20 17:39:38","added icon for each button: search, refresh, new, & save.save modified datagrid data into file. ie. after delete 1 row from datagrid, press save button."
"480","yancyn","2011-09-20 17:09:08","added missing libraries.application able to bind lianduis from source file now."
"479","yancyn","2011-09-19 17:07:07","fixed interpreted name wrongly for those svg file ended with 's'.allow search with empty space keyword."
"478","yancyn","2011-09-19 15:12:11",""
"477","yancyn","2011-09-19 09:42:51","update order."
"476","yancyn","2011-09-15 17:26:22",""
"475","yancyn","2011-09-14 17:29:23",""
"474","yancyn","2011-09-13 09:45:24","adding order from Hamid."
"473","yancyn","2011-09-13 08:11:50","update delivery.update jawiWPF."
"472","yancyn","2011-09-12 17:55:37",""
"471","yancyn","2011-09-10 09:43:02",""
"470","yancyn","2011-09-09 17:39:37",""
"469","yancyn","2011-09-09 17:13:48","created unit test project for FindLiandui.Liandui able to save into xml file now with contain value for prefix and type if not define default attribute will stored instead."
"468","yancyn","2011-09-09 11:14:27","adding new order."
"467","yancyn","2011-09-08 20:18:36","adding new liandui."
"466","yancyn","2011-09-08 19:27:12","adding liandui."
"465","yancyn","2011-09-08 15:28:54","start create a liandui lookup app."
"464","yancyn","2011-09-07 18:25:31","adding order from Addin marble."
"463","yancyn","2011-09-07 17:06:33","submit new order."
"462","yancyn","2011-09-01 22:43:22","update order."
"461","yancyn","2011-08-24 10:43:44","pop up message after save success/merge instead of only showing at statusbar. It is more friendly this way."
"460","yancyn","2011-08-23 11:42:49","updating delivery date."
"459","yancyn","2011-08-23 00:51:58","remove abbas2.correct order item."
"458","yancyn","2011-08-22 23:43:36","update app version."
"457","yancyn","2011-08-22 23:42:28","adding hamid new order."
"456","yancyn","2011-08-22 21:05:50","adding new template alias"
"455","yancyn","2011-08-22 14:13:26","adding yyyy-MM-dd regex test.converted to VS2010 solution version."
"454","yancyn","2011-08-21 16:12:27","adding new order."
"453","yancyn","2011-08-20 19:02:45","adding new order."
"452","yancyn","2011-08-18 23:27:04","updating latest stable app version."
"451","yancyn","2011-08-18 23:25:41","change item type through phone from Addin."
"450","yancyn","2011-08-18 18:56:16","amend mat2 and removed unnecessary template."
"449","yancyn","2011-08-18 18:54:13","fix the empty jawicounter bug and output.svg in use when merging result."
"448","yancyn","2011-08-18 16:36:14","removed forbidden file reference."
"447","yancyn","2011-08-18 15:57:36","upgrading new muslim calendar exe which now allow copy the result."
"446","yancyn","2011-08-18 15:54:43","migrated MuslimCalendar from my snippet project to here."
"445","yancyn","2011-08-18 15:52:03","renamed MuslimConverter to MuslimCalendar."
"444","yancyn","2011-08-18 14:51:16","adding new order."
"443","yancyn","2011-08-17 12:55:25","do not overwrite the svg file if exist this is to prevent overwrite the maybe completed file modified by user."
"442","yancyn","2011-08-16 11:06:34","updating order."
